Action Type,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle
idle,172,153,356,23,186,206
idle,124,131,8,345,199,220
idle,113,257,0,331,169,188
idle,167,161,351,17,224,252
idle,106,154,330,346,205,192
idle,120,151,331,347,191,209
idle,97,125,44,349,199,205
idle,225,213,353,356,158,166
idle,172,124,101,349,173,194
idle,32,255,337,343,187,192
idle,137,90,4,351,199,191
idle,201,222,13,341,151,133
idle,70,301,340,338,178,167
idle,177,175,6,346,187,197
idle,101,81,17,343,210,193
idle,175,150,80,348,223,204
idle,78,171,336,332,212,191
idle,157,147,35,4,188,210
idle,131,115,34,342,232,218
idle,167,175,15,22,184,162
idle,61,262,342,340,181,197
idle,97,184,329,343,184,180
idle,161,164,17,17,223,190
idle,134,135,31,339,256,254
idle,155,163,0,24,216,191
idle,204,165,21,28,184,248
idle,104,229,342,334,189,180
idle,240,328,347,327,174,160
idle,240,278,347,339,171,169
idle,328,238,358,1,175,135
idle,167,174,4,352,182,177
idle,187,177,40,30,173,180
idle,298,178,31,23,180,138
idle,206,214,8,328,163,143
idle,138,151,17,5,196,216
idle,304,171,346,29,205,173
idle,75,282,345,335,175,188
idle,125,257,340,335,161,180
idle,194,274,291,302,170,218
idle,52,2,355,351,204,210
idle,236,280,346,336,115,184
idle,89,278,345,343,183,205
idle,78,17,26,311,201,235
idle,234,229,40,80,121,149
idle,135,100,6,1,194,188
idle,48,325,339,330,157,184
idle,30,323,345,342,164,200
idle,242,213,26,350,161,167
idle,273,254,349,348,126,141
idle,114,154,346,339,197,206
idle,183,160,331,4,212,200
idle,155,114,11,37,218,210
idle,145,103,7,13,236,207
