Action Type,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle
shot,289,71,279,297,186,229
shot,289,222,304,66,149,141
shot,277,335,285,293,154,158
shot,245,203,29,46,133,116
shot,251,200,35,64,131,115
shot,263,123,314,258,180,181
shot,55,143,3,31,213,236
shot,156,137,348,8,223,237
shot,155,150,354,350,205,233
shot,163,161,19,332,197,219
shot,333,155,272,308,195,229
shot,347,118,273,296,189,233
shot,262,65,282,284,181,229
shot,247,172,281,156,187,246
shot,358,17,351,326,129,180
shot,300,250,310,55,124,178
shot,287,211,306,95,123,170
shot,189,195,274,78,108,154
shot,201,79,184,267,176,184
shot,281,108,300,256,174,180
shot,358,162,325,232,170,181
shot,163,171,1,221,230,185
shot,173,166,11,254,252,199
shot,152,177,2,271,239,201
shot,288,100,266,253,193,181
shot,311,128,308,248,194,183
shot,14,139,326,251,190,186
shot,291,197,315,240,169,187
shot,283,177,319,226,164,186
shot,316,162,319,214,146,175
shot,266,233,311,49,151,164
shot,248,236,310,47,155,158
shot,248,219,310,67,157,153
shot,259,266,330,349,160,157
shot,188,174,330,17,110,164
shot,294,58,358,39,148,85
shot,254,183,7,27,142,100
shot,245,200,31,47,133,113
shot,250,205,36,75,127,118
shot,241,234,27,64,129,124
shot,222,236,13,104,121,125
shot,189,155,288,337,157,167
shot,171,140,281,341,148,201
shot,178,227,287,360,167,190
shot,201,243,302,14,175,190
shot,193,194,22,114,120,159
shot,174,193,36,165,148,165
shot,133,179,61,238,296,200
shot,183,252,268,93,193,247
shot,357,91,292,311,187,216
shot,309,291,295,26,161,185
